[2025-04-25T15:08:23.374Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57275, socketId=7z3Z7Qw2BQnsWIPlAAAL)
[2025-04-25T15:26:36.385Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65168, socketId=teiG036gEjb35ikOAAAj)
[2025-04-25T15:26:36.385Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65170, socketId=lg8gaV38latY6KJyAAAn)
[2025-04-25T15:26:36.386Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65175, socketId=Q608GsiiQ0f_hQAxAAA5)
[2025-04-25T15:26:36.454Z] - User offline status updated (ip=::ffff:192.168.1.8, port=65175, socketId=Q608GsiiQ0f_hQAxAAA5)
[2025-04-25T15:26:37.075Z] - Peer connected (ip=::ffff:192.168.1.8, port=65199, socketId=sl7vPv2kpJqQIWpLAAA_)
[2025-04-25T15:26:37.194Z] - Peer registered (ip=::ffff:192.168.1.8, port=65199, socketId=sl7vPv2kpJqQIWpLAAA_)
[2025-04-25T15:26:37.196Z] - Peer connected (ip=::ffff:192.168.1.8, port=65199, socketId=ZxgGKWAUEXtEuYngAABB)
[2025-04-25T15:26:37.319Z] - User online status updated (ip=::ffff:192.168.1.8, port=65199, socketId=ZxgGKWAUEXtEuYngAABB)
[2025-04-25T15:28:32.112Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65199, socketId=ZxgGKWAUEXtEuYngAABB)
[2025-04-25T15:28:32.188Z] - User offline status updated (ip=::ffff:192.168.1.8, port=65199, socketId=ZxgGKWAUEXtEuYngAABB)
[2025-04-25T15:28:44.978Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57754, socketId=24efslp5KSQkjZ67AAA9)
[2025-04-25T15:28:45.046Z] - User offline status updated (ip=::ffff:192.168.1.6, port=57754, socketId=24efslp5KSQkjZ67AAA9)
[2025-04-25T15:28:45.838Z] - Peer connected (ip=127.0.0.1, port=57798, socketId=ewQ-cdD7rBZqzSmnAABD)
[2025-04-25T15:28:45.842Z] - User joined channel (ip=127.0.0.1, port=57798, socketId=ewQ-cdD7rBZqzSmnAABD)
[2025-04-25T15:28:45.959Z] - Peer disconnected (ip=127.0.0.1, port=57798, socketId=ewQ-cdD7rBZqzSmnAABD)
[2025-04-25T15:28:45.963Z] - Peer connected (ip=127.0.0.1, port=57796, socketId=io4Gd2xVkp8Do6Q4AABF)
[2025-04-25T15:28:45.967Z] - User joined channel (ip=127.0.0.1, port=57796, socketId=io4Gd2xVkp8Do6Q4AABF)
[2025-04-25T15:28:49.488Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65199, socketId=sl7vPv2kpJqQIWpLAAA_)
[2025-04-25T15:28:50.140Z] - Peer connected (ip=::ffff:192.168.1.8, port=65235, socketId=OFCsHM1oKAkLca4TAABH)
[2025-04-25T15:28:50.295Z] - Peer registered (ip=::ffff:192.168.1.8, port=65235, socketId=OFCsHM1oKAkLca4TAABH)
[2025-04-25T15:29:31.447Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65235, socketId=OFCsHM1oKAkLca4TAABH)
[2025-04-25T15:29:32.047Z] - Peer connected (ip=::ffff:192.168.1.8, port=65284, socketId=IDYBSMx4XUskCpGCAABJ)
[2025-04-25T15:29:32.099Z] - Peer registered (ip=::ffff:192.168.1.8, port=65284, socketId=IDYBSMx4XUskCpGCAABJ)
[2025-04-25T15:30:54.364Z] - Peer connected (ip=::ffff:192.168.1.8, port=65358, socketId=3hqfx0zxe1SExs9DAABL)
[2025-04-25T15:30:54.446Z] - User online status updated (ip=::ffff:192.168.1.8, port=65358, socketId=3hqfx0zxe1SExs9DAABL)
[2025-04-25T15:30:56.206Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65358, socketId=3hqfx0zxe1SExs9DAABL)
[2025-04-25T15:30:56.277Z] - User offline status updated (ip=::ffff:192.168.1.8, port=65358, socketId=3hqfx0zxe1SExs9DAABL)
[2025-04-25T15:38:57.742Z] - Peer connected (ip=::ffff:192.168.1.8, port=49280, socketId=fjoy3ETgkqZIlxUsAABN)
[2025-04-25T15:38:57.752Z] - User joined channel (ip=::ffff:192.168.1.8, port=49280, socketId=fjoy3ETgkqZIlxUsAABN)
[2025-04-25T15:38:57.786Z] - Peer connected (ip=::ffff:192.168.1.8, port=49279, socketId=TGBbMK4OZTxoXPuyAABQ)
[2025-04-25T15:38:57.793Z] - User joined channel (ip=::ffff:192.168.1.8, port=49279, socketId=TGBbMK4OZTxoXPuyAABQ)
[2025-04-25T15:38:57.873Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49280, socketId=fjoy3ETgkqZIlxUsAABN)
[2025-04-25T15:38:57.881Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49279, socketId=TGBbMK4OZTxoXPuyAABQ)
[2025-04-25T15:38:58.483Z] - Peer disconnected (ip=127.0.0.1, port=57796, socketId=io4Gd2xVkp8Do6Q4AABF)
[2025-04-25T15:38:58.512Z] - Peer connected (ip=127.0.0.1, port=57887, socketId=HH3-9SaM20NS4ncXAABS)
[2025-04-25T15:38:58.525Z] - User joined channel (ip=127.0.0.1, port=57887, socketId=HH3-9SaM20NS4ncXAABS)
[2025-04-25T15:38:58.634Z] - Peer disconnected (ip=127.0.0.1, port=57887, socketId=HH3-9SaM20NS4ncXAABS)
[2025-04-25T15:38:58.664Z] - Peer connected (ip=127.0.0.1, port=57886, socketId=uKlZHa-wRL4vPqorAABU)
[2025-04-25T15:38:58.674Z] - User joined channel (ip=127.0.0.1, port=57886, socketId=uKlZHa-wRL4vPqorAABU)
[2025-04-25T15:41:12.989Z] - Peer connected (ip=::ffff:192.168.1.8, port=49426, socketId=_9m6bejT7fKY3-ZlAABW)
[2025-04-25T15:41:13.001Z] - User joined channel (ip=::ffff:192.168.1.8, port=49426, socketId=_9m6bejT7fKY3-ZlAABW)
[2025-04-25T15:41:13.140Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49426, socketId=_9m6bejT7fKY3-ZlAABW)
[2025-04-25T15:41:13.149Z] - Peer connected (ip=::ffff:192.168.1.8, port=49425, socketId=OvAPQxZvJwbMaQDuAABY)
[2025-04-25T15:41:13.160Z] - User joined channel (ip=::ffff:192.168.1.8, port=49425, socketId=OvAPQxZvJwbMaQDuAABY)
[2025-04-25T15:41:13.476Z] - Peer disconnected (ip=127.0.0.1, port=57886, socketId=uKlZHa-wRL4vPqorAABU)
[2025-04-25T15:41:13.496Z] - Peer connected (ip=::ffff:192.168.1.6, port=57912, socketId=RZVRY9kAMIC-GXnKAABa)
[2025-04-25T15:41:13.502Z] - User joined channel (ip=::ffff:192.168.1.6, port=57912, socketId=RZVRY9kAMIC-GXnKAABa)
[2025-04-25T15:41:13.630Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57912, socketId=RZVRY9kAMIC-GXnKAABa)
[2025-04-25T15:41:13.649Z] - Peer connected (ip=::ffff:192.168.1.6, port=57911, socketId=GC0ukSk_mVZc2AiBAABc)
[2025-04-25T15:41:13.661Z] - User joined channel (ip=::ffff:192.168.1.6, port=57911, socketId=GC0ukSk_mVZc2AiBAABc)
[2025-04-25T15:41:24.745Z] - Channel message sent (ip=::ffff:192.168.1.8, port=49425, socketId=OvAPQxZvJwbMaQDuAABY)
[2025-04-25T15:41:28.943Z] - Channel message sent (ip=::ffff:192.168.1.6, port=57911, socketId=GC0ukSk_mVZc2AiBAABc)
[2025-04-25T15:41:40.296Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49425, socketId=OvAPQxZvJwbMaQDuAABY)
[2025-04-25T15:41:40.315Z] - Peer connected (ip=::ffff:192.168.1.8, port=49432, socketId=1qsSuZBYmsS5skooAABe)
[2025-04-25T15:41:40.337Z] - User joined channel (ip=::ffff:192.168.1.8, port=49432, socketId=1qsSuZBYmsS5skooAABe)
[2025-04-25T15:41:46.451Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49432, socketId=1qsSuZBYmsS5skooAABe)
[2025-04-25T15:41:49.329Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=65284, socketId=IDYBSMx4XUskCpGCAABJ)
[2025-04-25T15:41:49.942Z] - Peer connected (ip=::ffff:192.168.1.8, port=49432, socketId=oz8sKKVdOWJR1nW7AABg)
[2025-04-25T15:41:50.036Z] - Peer registered (ip=::ffff:192.168.1.8, port=49432, socketId=oz8sKKVdOWJR1nW7AABg)
[2025-04-25T15:42:16.670Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49432, socketId=oz8sKKVdOWJR1nW7AABg)
[2025-04-25T15:42:17.475Z] - Peer connected (ip=::ffff:192.168.1.8, port=49454, socketId=SZE-idxHYhxFOt2KAABi)
[2025-04-25T15:42:17.700Z] - Peer registered (ip=::ffff:192.168.1.8, port=49454, socketId=SZE-idxHYhxFOt2KAABi)
[2025-04-25T15:42:25.318Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49454, socketId=SZE-idxHYhxFOt2KAABi)
[2025-04-25T15:42:25.338Z] - Peer connected (ip=::ffff:192.168.1.8, port=49456, socketId=1ap_VVfokZHDe66WAABk)
[2025-04-25T15:42:25.660Z] - Peer registered (ip=::ffff:192.168.1.8, port=49456, socketId=1ap_VVfokZHDe66WAABk)
[2025-04-25T15:42:25.662Z] - Peer connected (ip=::ffff:192.168.1.8, port=49456, socketId=2Tsr48dGRKvZYA2WAABm)
[2025-04-25T15:42:25.947Z] - User online status updated (ip=::ffff:192.168.1.8, port=49456, socketId=2Tsr48dGRKvZYA2WAABm)
[2025-04-25T15:42:31.134Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49456, socketId=1ap_VVfokZHDe66WAABk)
[2025-04-25T15:42:31.139Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49456, socketId=2Tsr48dGRKvZYA2WAABm)
[2025-04-25T15:42:31.211Z] - User offline status updated (ip=::ffff:192.168.1.8, port=49456, socketId=2Tsr48dGRKvZYA2WAABm)
[2025-04-25T15:42:32.009Z] - Peer connected (ip=::ffff:192.168.1.8, port=49475, socketId=iWasEHGTY9vJ-AZpAABo)
[2025-04-25T15:42:32.304Z] - Peer registered (ip=::ffff:192.168.1.8, port=49475, socketId=iWasEHGTY9vJ-AZpAABo)
[2025-04-25T15:42:32.306Z] - Peer connected (ip=::ffff:192.168.1.8, port=49475, socketId=4rHcEhOBi9ZgIChTAABq)
[2025-04-25T15:42:32.527Z] - User online status updated (ip=::ffff:192.168.1.8, port=49475, socketId=4rHcEhOBi9ZgIChTAABq)
[2025-04-25T15:42:44.503Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57911, socketId=GC0ukSk_mVZc2AiBAABc)
[2025-04-25T15:42:46.998Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57506, socketId=5Wv4mUEpL32TFkcSAAAW)
[2025-04-25T15:42:47.000Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57747, socketId=lXeVCleoO32gYoUIAAAl)
[2025-04-25T15:42:47.002Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57738, socketId=VXiXL_mHbabCAsroAAAb)
[2025-04-25T15:42:47.003Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57738, socketId=gcmNjYKgMVneElsWAAAd)
[2025-04-25T15:42:47.004Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57738, socketId=0J5QmJ4eEGSIGjDjAAAh)
[2025-04-25T15:42:47.223Z] - Peer connected (ip=::ffff:192.168.1.6, port=57926, socketId=_YE7gl39XsuNq6JlAABs)
[2025-04-25T15:42:47.226Z] - Peer registered (ip=::ffff:192.168.1.6, port=57926, socketId=_YE7gl39XsuNq6JlAABs)
[2025-04-25T15:42:53.406Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57926, socketId=_YE7gl39XsuNq6JlAABs)
[2025-04-25T15:42:53.617Z] - Peer connected (ip=::ffff:192.168.1.6, port=57936, socketId=7WIL4qXXv6IZFUDhAABu)
[2025-04-25T15:42:53.621Z] - Peer registered (ip=::ffff:192.168.1.6, port=57936, socketId=7WIL4qXXv6IZFUDhAABu)
[2025-04-25T15:42:54.344Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57936, socketId=7WIL4qXXv6IZFUDhAABu)
[2025-04-25T15:42:54.411Z] - Peer connected (ip=::ffff:192.168.1.6, port=57936, socketId=hkhQ12v6angzjFT7AABw)
[2025-04-25T15:42:54.414Z] - Peer registered (ip=::ffff:192.168.1.6, port=57936, socketId=hkhQ12v6angzjFT7AABw)
[2025-04-25T15:42:54.514Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57936, socketId=hkhQ12v6angzjFT7AABw)
[2025-04-25T15:42:54.563Z] - Peer connected (ip=::ffff:192.168.1.6, port=57936, socketId=L0ahGWgf7vrzccezAABy)
[2025-04-25T15:42:54.566Z] - Peer registered (ip=::ffff:192.168.1.6, port=57936, socketId=L0ahGWgf7vrzccezAABy)
[2025-04-25T15:42:54.728Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57936, socketId=L0ahGWgf7vrzccezAABy)
[2025-04-25T15:42:54.763Z] - Peer connected (ip=::ffff:192.168.1.6, port=57938, socketId=JlYGVFEvBaqdcTrEAAB0)
[2025-04-25T15:42:54.765Z] - Peer registered (ip=::ffff:192.168.1.6, port=57938, socketId=JlYGVFEvBaqdcTrEAAB0)
[2025-04-25T15:45:00.712Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=57938, socketId=JlYGVFEvBaqdcTrEAAB0)
[2025-04-25T15:45:00.773Z] - Peer connected (ip=::ffff:192.168.1.6, port=58015, socketId=udczHmkobaiFwP9mAAB2)
[2025-04-25T15:45:00.775Z] - Peer registered (ip=::ffff:192.168.1.6, port=58015, socketId=udczHmkobaiFwP9mAAB2)
[2025-04-25T15:45:01.251Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=58015, socketId=udczHmkobaiFwP9mAAB2)
[2025-04-25T15:45:01.285Z] - Peer connected (ip=::ffff:192.168.1.6, port=58015, socketId=2T5K0rm01PKuN2zOAAB4)
[2025-04-25T15:45:01.289Z] - Peer registered (ip=::ffff:192.168.1.6, port=58015, socketId=2T5K0rm01PKuN2zOAAB4)
[2025-04-25T15:45:04.401Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=58015, socketId=2T5K0rm01PKuN2zOAAB4)
[2025-04-25T15:45:04.411Z] - Peer connected (ip=::ffff:192.168.1.6, port=58015, socketId=t8FuiUsZxvUl9blvAAB7)
[2025-04-25T15:45:04.413Z] - Peer connected (ip=::ffff:192.168.1.6, port=58015, socketId=HLaxvpHNHB9ZQxcSAAB8)
[2025-04-25T15:45:04.416Z] - Peer registered (ip=::ffff:192.168.1.6, port=58015, socketId=t8FuiUsZxvUl9blvAAB7)
[2025-04-25T15:45:04.486Z] - User online status updated (ip=::ffff:192.168.1.6, port=58015, socketId=HLaxvpHNHB9ZQxcSAAB8)
[2025-04-25T15:45:13.613Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=58015, socketId=t8FuiUsZxvUl9blvAAB7)
[2025-04-25T15:45:13.614Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=58015, socketId=HLaxvpHNHB9ZQxcSAAB8)
[2025-04-25T15:45:13.618Z] - Peer connected (ip=::ffff:192.168.1.6, port=58037, socketId=kt0JaG2R7D7WMnxQAAB-)
[2025-04-25T15:45:13.621Z] - Peer registered (ip=::ffff:192.168.1.6, port=58037, socketId=kt0JaG2R7D7WMnxQAAB-)
[2025-04-25T15:45:13.681Z] - User offline status updated (ip=::ffff:192.168.1.6, port=58015, socketId=HLaxvpHNHB9ZQxcSAAB8)
[2025-04-25T15:45:15.683Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=58037, socketId=kt0JaG2R7D7WMnxQAAB-)
[2025-04-25T15:45:15.740Z] - Peer connected (ip=::ffff:192.168.1.6, port=58039, socketId=A10cUCbbzKFd41F6AACA)
[2025-04-25T15:45:15.744Z] - Peer registered (ip=::ffff:192.168.1.6, port=58039, socketId=A10cUCbbzKFd41F6AACA)
[2025-04-25T15:45:18.402Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=58039, socketId=A10cUCbbzKFd41F6AACA)
[2025-04-25T15:45:18.409Z] - Peer connected (ip=::ffff:192.168.1.6, port=58037, socketId=Y2_pmh4fjTO8CzdhAACD)
[2025-04-25T15:45:18.414Z] - Peer connected (ip=::ffff:192.168.1.6, port=58037, socketId=xmPGy8I644vCqmDdAACE)
[2025-04-25T15:45:18.417Z] - Peer registered (ip=::ffff:192.168.1.6, port=58037, socketId=Y2_pmh4fjTO8CzdhAACD)
[2025-04-25T15:45:18.484Z] - User online status updated (ip=::ffff:192.168.1.6, port=58037, socketId=xmPGy8I644vCqmDdAACE)
[2025-04-25T15:45:20.244Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=58037, socketId=xmPGy8I644vCqmDdAACE)
[2025-04-25T15:45:20.313Z] - User offline status updated (ip=::ffff:192.168.1.6, port=58037, socketId=xmPGy8I644vCqmDdAACE)
[2025-04-25T15:45:21.491Z] - Peer connected (ip=::ffff:192.168.1.6, port=58037, socketId=k4H5hEpJcoZ8HCOtAACG)
[2025-04-25T15:45:21.494Z] - User joined channel (ip=::ffff:192.168.1.6, port=58037, socketId=k4H5hEpJcoZ8HCOtAACG)
[2025-04-25T15:45:21.619Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=58037, socketId=k4H5hEpJcoZ8HCOtAACG)
[2025-04-25T15:45:21.623Z] - Peer connected (ip=::ffff:192.168.1.6, port=58047, socketId=SJqNa_ARaALEqq_kAACI)
[2025-04-25T15:45:21.626Z] - User joined channel (ip=::ffff:192.168.1.6, port=58047, socketId=SJqNa_ARaALEqq_kAACI)
[2025-04-25T15:45:24.539Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=58047, socketId=SJqNa_ARaALEqq_kAACI)
[2025-04-25T15:45:30.445Z] - Peer disconnected (ip=::ffff:192.168.1.6, port=58037, socketId=Y2_pmh4fjTO8CzdhAACD)
[2025-04-25T15:45:30.455Z] - Peer connected (ip=::ffff:192.168.1.6, port=58056, socketId=t91SUTdw-tOJ_iyuAACL)
[2025-04-25T15:45:30.457Z] - Peer connected (ip=::ffff:192.168.1.6, port=58056, socketId=5Y-NoqLgDxmJQk23AACM)
[2025-04-25T15:45:30.460Z] - Peer registered (ip=::ffff:192.168.1.6, port=58056, socketId=t91SUTdw-tOJ_iyuAACL)
[2025-04-25T15:45:30.526Z] - User online status updated (ip=::ffff:192.168.1.6, port=58056, socketId=5Y-NoqLgDxmJQk23AACM)
[2025-04-25T15:45:49.966Z] - Peer disconnected (ip=::ffff:192.168.1.8, port=49475, socketId=4rHcEhOBi9ZgIChTAABq)
